"","shape.trait1","resid.trait1","trait1","shape.trait2","resid.trait2","trait2","shape.trait3","resid.trait3","trait3","shape.trait4","resid.trait4","trait4","shape.trait5","resid.trait5","trait5","shape.trait6","resid.trait6","trait6"
"Maria_Callas_vid05_clip05_2secs",0.169598085979719,-0.412538104501409,-0.241823035360551,-0.235196689973671,0.81147380043838,0.587335701394715,0.187190385769689,-2.12860295930216,-1.9328769224076,0.058101169675841,1.94836875424923,2.04149773970421,-0.650430592107599,-0.034002048771296,-0.145635750857376,0.268406082354067,-0.379968067484856,-0.120533177495211
"Maria_Guida_U106_vid03_clip02_2secs",-0.0285667720771912,-1.3758717999329,-1.40009064726156,0.0881369807847929,0.647640659251735,0.733325000855628,-0.154638219601208,-1.09155216852342,-1.24298375677886,0.0595235588160042,0.413752973039343,0.509199282656143,0.0450828075618563,-0.370878851486163,-0.364376210933281,0.217490656217295,-0.807524371266389,-0.598909188596223
"Mariel_Hemingway_vid04_clip08_2secs",0.467124154916303,-0.439223092662272,0.02416708768791,-0.196823396399423,-0.877224781516902,-1.0645931020127,-0.583103172409683,-0.00898303269531445,-0.595559231846017,0.129520824577818,1.95593343410118,2.16541770325487,0.892885284051593,0.139877982845815,0.290384008380713,0.177868335820409,-0.537227572894326,-0.368160222358163
"Marie_Reache",0.139610034696543,-0.409835853072639,-0.268619900683548,-0.518869515724412,1.18194216046953,0.685985147505402,-0.745705410371708,1.33064523180555,0.578931867748121,0.116261584748984,-0.0775713897923775,0.110311226230518,0.549055975548392,-0.174505267066059,-0.0824003262808656,0.379730774468501,-0.320093718966695,0.0504565774911006
"Marit_Bjorgen",-0.0404675173186425,0.485471926978781,0.449546367866973,0.420884627883016,0.0377105912378846,0.442237965495546,-0.517873892533474,0.899344271498683,0.379014259870812,0.0626234403774784,0.222816416221848,0.323312982648384,0.037996769493521,-0.486510099166778,-0.481211056735214,0.530536537935255,0.109685679246943,0.630758230804472
"Mark_Benecke",0.206360500977015,1.033323069229,1.24020116749908,-0.0599474775858818,-0.650168010513211,-0.706380082625684,-0.128985930726232,0.226673355161722,0.101293968347521,-0.0973899213731439,0.499011117561025,0.338817540250072,-0.273181261604055,0.371283623735047,0.323727560109802,-0.888679239491685,0.242737926144543,-0.652737234935708
"Martine_Jonckheere",-0.435232386306828,-0.0626551475536482,-0.486909206233934,0.385146983888484,-0.0779509128322747,0.292332195867128,0.418721636051804,-0.979187464946463,-0.548320665304059,-0.101690866130996,1.15519596443431,0.9879953853651,0.696717522118208,-0.0344685349539383,0.0827174395948912,0.202834080614562,-0.112038259777811,0.0819479010231129
"Martin_Wuttke",0.479175084778593,0.614940646364537,1.09018527446186,0.890126750560034,0.164392590997162,1.01855374252709,0.17292858689547,0.377875807689922,0.559117707944805,-0.0392008019862662,2.0767640238866,2.01137084156118,0.0506115057676923,0.377202854172322,0.384644571076433,-0.422454808455144,0.414825705169863,-0.0153015068070937
"Mary_Crosby_U228_vid04_clip09_2secs",-0.126936404795402,0.578405699186083,0.457421068279793,-0.618478125530748,-1.06485939918701,-1.65626265048232,0.273252223922009,-1.67196323424974,-1.38883367734672,0.0275048360022642,1.3556253577307,1.39890748954832,-0.773650993520915,1.31809589152881,1.18553260337236,-0.390063459972267,0.201164571714394,-0.196632186125519
"Mary_Sue_Coleman_vid04_clip09_2secs",0.191279552091435,0.657766591990864,0.849809625864722,1.02240461775812,0.650831734293408,1.63174322259719,-0.599750957546335,-0.817160961251837,-1.42064448021498,0.125394883900264,0.312108741551079,0.514871121629275,0.646494771315983,1.06171551007938,1.17037090549075,0.121337436577664,-0.604570819241332,-0.491928092282037
